City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bairiki,KI,2022-06-22 23:36:03,1.3292,172.9752,86.0,70,20,9.22
68,Yarmouth,US,2022-06-22 23:36:03,41.7057,-70.2286,67.14,83,20,11.5
69,Saskylakh,RU,2022-06-22 23:36:04,71.9167,114.0833,51.4,41,28,9.35
70,Great Yarmouth,GB,2022-06-22 23:36:04,52.6083,1.7305,59.02,88,17,8.08
71,Manicore,BR,2022-06-22 23:36:05,-5.8092,-61.3003,76.95,94,0,1.14
72,Cabo San Lucas,MX,2022-06-22 23:32:49,22.8909,-109.9124,93.61,45,0,16.11
73,Narsaq,GL,2022-06-22 23:36:06,60.9167,-46.05,53.82,52,1,1.95
74,Kapaa,US,2022-06-22 23:36:06,22.0752,-159.319,82.38,76,20,16.11
75,Olinda,BR,2022-06-22 23:36:07,-8.0089,-34.8553,69.53,94,75,5.75
76,Sakaiminato,JP,2022-06-22 23:36:07,35.55,133.2333,80.58,74,75,5.75
77,Lebu,CL,2022-06-22 23:36:07,-37.6167,-73.65,48.65,90,100,8.93
78,Vilyuysk,RU,2022-06-22 23:36:08,63.7553,121.6247,72.81,49,89,3.76
79,Albany,US,2022-06-22 23:36:08,42.6001,-73.9662,64.89,79,97,3.0
80,Ancud,CL,2022-06-22 23:33:47,-41.8697,-73.8203,37.22,76,46,6.82
81,Cherskiy,RU,2022-06-22 23:36:09,68.75,161.3,59.68,53,100,17.07
82,Tamiahua,MX,2022-06-22 23:36:09,21.2667,-97.45,80.29,82,64,7.63
83,Abu Dhabi,AE,2022-06-22 23:32:47,24.4667,54.3667,93.31,65,0,1.14
84,Butaritari,KI,2022-06-22 23:36:10,3.0707,172.7902,81.48,77,89,11.3
85,Akureyri,IS,2022-06-22 23:36:11,65.6835,-18.0878,40.93,75,75,14.97
86,Pimentel,PE,2022-06-22 23:36:11,-6.8367,-79.9342,64.69,68,0,19.57
87,Mahebourg,MU,2022-06-22 23:36:12,-20.4081,57.7,70.09,78,20,10.36
88,Resistencia,AR,2022-06-22 23:36:12,-27.4606,-58.9839,53.11,90,100,8.05
89,Vigrestad,NO,2022-06-22 23:36:13,58.5667,5.7,56.97,94,96,2.08
90,Longyearbyen,SJ,2022-06-22 23:36:13,78.2186,15.6401,44.44,65,75,14.97
91,Mar Del Plata,AR,2022-06-22 23:36:13,-38.0023,-57.5575,43.95,60,75,7.0
92,Sao Felix Do Xingu,BR,2022-06-22 23:36:14,-6.6447,-51.995,77.85,63,96,1.19
93,Flinders,AU,2022-06-22 23:36:14,-34.5833,150.8552,59.05,70,66,5.99
94,Kavieng,PG,2022-06-22 23:37:15,-2.5744,150.7967,82.89,72,100,4.88
95,Santa Cruz,BO,2022-06-22 23:34:04,-17.8,-63.1667,78.85,61,40,17.27
96,Dingle,PH,2022-06-22 23:37:16,10.9995,122.6711,81.95,79,84,4.45
97,Nanortalik,GL,2022-06-22 23:37:16,60.1432,-45.2371,41.5,77,1,18.57
98,Provideniya,RU,2022-06-22 23:37:16,64.3833,-173.3,41.36,100,100,15.99
