City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
474,Daru,PG,78.87,broken clouds,-9.0763,143.2092,Daru Lodge
476,Hirara,JP,83.55,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
477,Tautira,PF,78.82,light rain,-17.7333,-149.15,Pension Oaoa
478,Ocampo,MX,71.49,broken clouds,21.65,-101.5,Hotel Estancia del Vaquero
480,Tarauaca,BR,88.47,clear sky,-8.1614,-70.7656,Flat Temporada
481,Ajdabiya,LY,88.9,clear sky,30.7554,20.2263,Almadina Hotel
482,Tabou,CI,79.29,light rain,4.423,-7.3528,hotêl doufoulougou
484,Tiarei,PF,71.62,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
486,El Fuerte,MX,87.98,broken clouds,26.4189,-108.6194,Hotel Rio Vista
488,Berkovica,BA,86.31,clear sky,44.6156,18.4294,Alić Ibrahim
489,Moville,US,71.6,scattered clouds,42.4889,-96.0725,EastSide Acres Mobile Home Park
492,Veraval,IN,83.71,heavy intensity rain,20.9,70.3667,Lords Inn Somnath
493,Sayansk,RU,61.7,broken clouds,54.1088,102.1648,Yubileynaya
494,Hualmay,PE,67.5,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
495,Deqing,CN,80.8,overcast clouds,30.5448,119.9599,Narada Boutique Hotel Huzhou Deqing
497,Razvilka,RU,85.28,scattered clouds,55.5917,37.7408,Milan Hotel
